Name,State,District,Party,Score,Lifetime Score,Postal Service Reform Act (H.R. 3076),Honoring Our Promise to Address Comprehensive Toxics (PACT) Act of 2021 (H.R. 3967),FAIR Act (H.R. 963 (Amendment #1)),Rights for the Transportation Security Administration Workforce Act (H.R. 903),National Defense Authorization Act for Fiscal Year 2023 (Amendment #3) (H.R. 7900),National Defense Authorization Act for Fiscal Year 2023 (Amendment #454) (H.R. 7900),CHIPS and Science Act  (H.R. 4346),Inflation Reduction Act (H.R. 5376),Presidential Election Reform Act (H.R. 8873),Rail Workers Sick Leave (H.Con.Res 119),Veteran Service Recognition Act (H.R. 7946),VA Employee Fairness Act (H.R. 1948),Omnibus Act of 2023 (H.R. 2617)
Rep. Rick Allen,GA,12,Republican,0%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. David Scott,GA,13,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Marjorie Taylor Greene,GA,14,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ed Case,HI,1,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Kaiali?i Kahele,HI,2,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ashley Hinson,IA,1,Republican,8%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mariannette Miller-Meeks,IA,2,Republican,8%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Cynthia Axne,IA,3,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Randy Feenstra,IA,4,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Russ Fulcher,ID,1,Republican,0%,8%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Simpson,ID,2,Republican,8%,21%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bobby L. Rush,IL,1,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Robin Kelly,IL,2,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Marie Newman,IL,3,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jesús García,IL,4,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Quigley,IL,5,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Sean Casten,IL,6,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Danny K. Davis,IL,7,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Raja Krishnamoorthi,IL,8,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jan Schakowsky,IL,9,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Brad Schneider,IL,10,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bill Foster,IL,11,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Bost,IL,12,Republican,25%,37%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Rodney Davis,IL,13,Republican,31%,38%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Lauren Underwood,IL,14,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mary Miller,IL,15,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Adam Kinzinger,IL,16,Republican,60%,36%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Cheri Bustos,IL,17,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Darin M. LaHood,IL,18,Republican,0%,18%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Frank Mrvan,IN,1,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jackie Walorski,IN,2,Republican,14%,14%,?,?,?,?,?,?,?,,,,,,
Rep. Rudy Yakym,IN,2,Republican,0%,0%,,,,,,,,,,?,?,?,?
Rep. Jim Banks,IN,3,Republican,0%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. James Baird,IN,4,Republican,8%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Victoria Spartz,IN,5,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Greg Pence,IN,6,Republican,8%,17%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. André Carson,IN,7,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Larry Bucshon,IN,8,Republican,8%,19%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Trey Hollingsworth,IN,9,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tracey Mann,KS,1,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jake LaTurner,KS,2,Republican,8%,3%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Sharice Davids,KS,3,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ron Estes,KS,4,Republican,0%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. James Comer,KY,1,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Brett Guthrie,KY,2,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. John Yarmuth,KY,3,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Thomas Massie,KY,4,Republican,8%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Harold Rogers,KY,5,Republican,8%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Andy Barr,KY,6,Republican,8%,10%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Steve Scalise,LA,1,Republican,8%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Troy Carter,LA,2,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Clay Higgins,LA,3,Republican,0%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Mike Johnson,LA,4,Republican,0%,10%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Julia Letlow,LA,5,Republican,8%,4%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Garret Graves,LA,6,Republican,8%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Richard E. Neal,MA,1,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jim McGovern,MA,2,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Lori Trahan,MA,3,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jake Auchincloss,MA,4,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Katherine Clark,MA,5,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Seth Moulton,MA,6,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ayanna Pressley,MA,7,Democrat,100%,91%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Stephen F. Lynch,MA,8,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bill Keating,MA,9,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Andy Harris,MD,1,Republican,0%,7%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. C.A. Dutch Ruppersberger,MD,2,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. John Sarbanes,MD,3,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Anthony Brown,MD,4,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Steny H. Hoyer,MD,5,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. David Trone,MD,6,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Kweisi Mfume,MD,7,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jamie Raskin,MD,8,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Chellie Pingree,ME,1,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jared Golden,ME,2,Democrat,100%,92%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jack Bergman,MI,1,Republican,23%,18%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bill Huizenga,MI,2,Republican,0%,9%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Peter Meijer,MI,3,Republican,31%,21%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. John Moolenaar,MI,4,Republican,0%,17%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Dan Kildee,MI,5,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Fred Upton,MI,6,Republican,54%,33%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tim Walberg,MI,7,Republican,8%,13%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Elissa Slotkin,MI,8,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Andy Levin,MI,9,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Lisa McClain,MI,10,Republican,15%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Haley Stevens,MI,11,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Debbie Dingell,MI,12,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Rashida Tlaib,MI,13,Democrat,100%,92%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Brenda Lawrence,MI,14,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Brad Finstad,MN,1,Republican,0%,0%,,,,,,,,?,?,?,?,?,?
Rep. Jim Hagedorn,MN,1,Republican,100%,23%,?,,,,,,,,,,,,
Rep. Angie Craig,MN,2,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Dean Phillips,MN,3,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Betty McCollum,MN,4,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ilhan Omar,MN,5,Democrat,100%,90%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Tom Emmer,MN,6,Republican,15%,21%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Michelle Fischbach,MN,7,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Pete Stauber,MN,8,Republican,15%,37%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Cori Bush,MO,1,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Ann Wagner,MO,2,Republican,8%,15%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Blaine Luetkemeyer,MO,3,Republican,8%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Vicky Hartzler,MO,4,Republican,8%,14%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Emanuel Cleaver II,MO,5,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Sam Graves,MO,6,Republican,8%,18%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Billy Long,MO,7,Republican,0%,11%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Jason Smith,MO,8,Republican,0%,10%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Trent Kelly,MS,1,Republican,0%,10%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Bennie Thompson,MS,2,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Michael Guest,MS,3,Republican,8%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Steven Palazzo,MS,4,Republican,0%,12%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Matt Rosendale,MT,1,Republican,0%,0%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. G. K. Butterfield,NC,1,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Deborah Ross,NC,2,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?,?
Rep. Greg Murphy,NC,3,Republican,8%,16%,?,?,?,?,?,?,?,?,?,?,?,?,?
