"name","state","district","party","score","lifetime_score","chamber"
"Rep. Jim Hagedorn","MN",1,"Republican",100,23,"House"
"Rep. Angie Craig","MN",2,"Democrat",100,100,"House"
"Rep. Dean Phillips","MN",3,"Democrat",100,100,"House"
"Rep. Betty McCollum","MN",4,"Democrat",100,97,"House"
"Rep. Ilhan Omar","MN",5,"Democrat",100,90,"House"
"Rep. Tom Emmer","MN",6,"Republican",15,21,"House"
"Rep. Michelle Fischbach","MN",7,"Republican",8,6,"House"
"Rep. Pete Stauber","MN",8,"Republican",15,37,"House"
"Rep. Cori Bush","MO",1,"Democrat",100,97,"House"
"Rep. Ann Wagner","MO",2,"Republican",8,15,"House"
"Rep. Blaine Luetkemeyer","MO",3,"Republican",8,11,"House"
"Rep. Vicky Hartzler","MO",4,"Republican",8,14,"House"
"Rep. Emanuel Cleaver II","MO",5,"Democrat",100,98,"House"
"Rep. Sam Graves","MO",6,"Republican",8,18,"House"
"Rep. Billy Long","MO",7,"Republican",0,11,"House"
"Rep. Jason Smith","MO",8,"Republican",0,10,"House"
"Rep. Trent Kelly","MS",1,"Republican",0,10,"House"
"Rep. Bennie Thompson","MS",2,"Democrat",100,98,"House"
"Rep. Michael Guest","MS",3,"Republican",8,12,"House"
"Rep. Steven Palazzo","MS",4,"Republican",0,12,"House"
"Rep. Matt Rosendale","MT",1,"Republican",0,0,"House"
"Rep. G. K. Butterfield","NC",1,"Democrat",100,98,"House"
"Rep. Deborah Ross","NC",2,"Democrat",100,100,"House"
"Rep. Greg Murphy","NC",3,"Republican",8,16,"House"
"Rep. David E. Price","NC",4,"Democrat",100,97,"House"
"Rep. Virginia Foxx","NC",5,"Republican",8,8,"House"
"Rep. Kathy Manning","NC",6,"Democrat",100,100,"House"
"Rep. David Rouzer","NC",7,"Republican",8,11,"House"
"Rep. Richard Hudson","NC",8,"Republican",15,10,"House"
"Rep. Dan Bishop","NC",9,"Republican",0,5,"House"
"Rep. Patrick T. McHenry","NC",10,"Republican",0,10,"House"
"Rep. Madison Cawthorn","NC",11,"Republican",8,3,"House"
"Rep. Alma Adams","NC",12,"Democrat",100,98,"House"
"Rep. Ted Budd","NC",13,"Republican",8,8,"House"
"Rep. Kelly Armstrong","ND",0,"Republican",8,11,"House"
"Rep. Mike Flood","NE",1,"Republican",0,0,"House"
"Rep. Jeff Fortenberry","NE",1,"Republican",33,21,"House"
"Rep. Don Bacon","NE",2,"Republican",38,29,"House"
"Rep. Adrian Smith","NE",3,"Republican",0,9,"House"
"Rep. Chris Pappas","NH",1,"Democrat",100,100,"House"
"Rep. Ann McLane Kuster","NH",2,"Democrat",100,95,"House"
"Rep. Donald W. Norcross","NJ",1,"Democrat",100,97,"House"
"Rep. Jefferson Van Drew","NJ",2,"Republican",23,61,"House"
"Rep. Andy Kim","NJ",3,"Democrat",100,100,"House"
"Rep. Christopher H. Smith","NJ",4,"Republican",46,54,"House"
"Rep. Josh Gottheimer","NJ",5,"Democrat",100,89,"House"
"Rep. Frank Pallone","NJ",6,"Democrat",100,99,"House"
"Rep. Tom Malinowski","NJ",7,"Democrat",100,100,"House"
"Rep. Albio Sires","NJ",8,"Democrat",100,98,"House"
"Rep. Bill Pascrell Jr.","NJ",9,"Democrat",100,98,"House"
"Rep. Donald M. Payne Jr.","NJ",10,"Democrat",100,98,"House"
"Rep. Mikie Sherrill","NJ",11,"Democrat",100,100,"House"
"Rep. Bonnie Watson Coleman","NJ",12,"Democrat",100,98,"House"
"Rep. Melanie Stansbury","NM",1,"Democrat",100,100,"House"
"Rep. Yvette Herrell","NM",2,"Republican",8,3,"House"
"Rep. Teresa Leger Fernandez","NM",3,"Democrat",100,100,"House"
"Rep. Dina Titus","NV",1,"Democrat",100,98,"House"
"Rep. Mark Amodei","NV",2,"Republican",8,18,"House"
"Rep. Susie Lee","NV",3,"Democrat",100,100,"House"
"Rep. Steven Horsford","NV",4,"Democrat",100,99,"House"
"Rep. Lee Zeldin","NY",1,"Republican",8,30,"House"
"Rep. Andrew Garbarino","NY",2,"Republican",23,24,"House"
"Rep. Thomas Suozzi","NY",3,"Democrat",100,94,"House"
"Rep. Kathleen Rice","NY",4,"Democrat",92,94,"House"
"Rep. Gregory W. Meeks","NY",5,"Democrat",100,94,"House"
"Rep. Grace Meng","NY",6,"Democrat",100,96,"House"
"Rep. Nydia M. Velázquez","NY",7,"Democrat",100,99,"House"
"Rep. Hakeem Jeffries","NY",8,"Democrat",100,99,"House"
"Rep. Yvette D. Clarke","NY",9,"Democrat",100,98,"House"
"Rep. Jerrold Nadler","NY",10,"Democrat",100,99,"House"
"Rep. Nicole Malliotakis","NY",11,"Republican",31,29,"House"
"Rep. Carolyn B. Maloney","NY",12,"Democrat",100,97,"House"
"Rep. Adriano Espaillat","NY",13,"Democrat",100,98,"House"
"Rep. Alexandria Ocasio-Cortez","NY",14,"Democrat",92,88,"House"
"Rep. Ritchie Torres","NY",15,"Democrat",100,100,"House"
"Rep. Jamaal Bowman","NY",16,"Democrat",100,97,"House"
"Rep. Mondaire Jones","NY",17,"Democrat",100,100,"House"
"Rep. Sean Patrick Maloney","NY",18,"Democrat",100,97,"House"
"Rep. Antonio Delgado","NY",19,"Democrat",100,100,"House"
"Rep. Patrick Ryan","NY",19,"Democrat",100,100,"House"
"Rep. Paul Tonko","NY",20,"Democrat",100,99,"House"
"Rep. Elise Stefanik","NY",21,"Republican",8,35,"House"
"Rep. Claudia Tenney","NY",22,"Republican",8,20,"House"
"Rep. Tom Reed","NY",23,"Republican",67,32,"House"
"Rep. Joe Sempolinski","NY",23,"Republican",0,0,"House"
"Rep. John Katko","NY",24,"Republican",77,53,"House"
"Rep. Joe Morelle","NY",25,"Democrat",100,100,"House"
"Rep. Brian Higgins","NY",26,"Democrat",100,98,"House"
"Rep. Chris Jacobs","NY",27,"Republican",31,24,"House"
"Rep. Steven J. Chabot","OH",1,"Republican",15,9,"House"
"Rep. Brad Wenstrup","OH",2,"Republican",0,8,"House"
"Rep. Joyce Beatty","OH",3,"Democrat",100,97,"House"
"Rep. Jim Jordan","OH",4,"Republican",0,5,"House"
"Rep. Robert E. Latta","OH",5,"Republican",8,9,"House"
"Rep. Bill Johnson","OH",6,"Republican",31,22,"House"
"Rep. Bob Gibbs","OH",7,"Republican",15,14,"House"
"Rep. Warren Davidson","OH",8,"Republican",8,7,"House"
"Rep. Marcy Kaptur","OH",9,"Democrat",100,98,"House"
"Rep. Michael R. Turner","OH",10,"Republican",23,33,"House"
"Rep. Shontel Brown","OH",11,"Democrat",100,100,"House"
"Rep. Troy Balderson","OH",12,"Republican",15,24,"House"
"Rep. Tim Ryan","OH",13,"Democrat",100,98,"House"
"Rep. Dave Joyce","OH",14,"Republican",31,39,"House"
"Rep. Mike Carey","OH",15,"Republican",31,27,"House"
"Rep. Anthony Gonzalez","OH",16,"Republican",33,32,"House"
"Rep. Kevin Hern","OK",1,"Republican",0,8,"House"
