"congresspeople","community","score1","lifetime_score1","name"
"Bill Hagerty (R)",3,18,11,"Bill Hagerty"
"Tom Cotton (R)",3,17,11,"Tom Cotton"
"Kevin Cramer (R)",3,18,21,"Kevin Cramer"
"Frank D Lucas (R)",3,8,15,"Frank D Lucas"
"Lisa McClain (R)",3,15,6,"Lisa McClain"
"Ralph Norman (R)",3,0,5,"Ralph Norman"
"Greg Steube (R)",3,0,8,"Greg Steube"
"Stephanie Bice (R)",3,15,12,"Stephanie Bice"
"Glenn S Grothman (R)",3,8,10,"Glenn S Grothman"
"Mike Johnson (R)",3,0,10,"Mike Johnson"
"Marsha Blackburn (R)",3,8,6,"Marsha Blackburn"
"Dan Bishop (R)",3,0,5,"Dan Bishop"
"Mitt Romney (R)",3,42,34,"Mitt Romney"
"Roger Wicker (R)",3,33,18,"Roger Wicker"
"Tim Kaine (D)",3,100,93,"Tim Kaine"
"Tammy Baldwin (D)",3,100,99,"Tammy Baldwin"
"Rudy Yakym (R)",3,0,0,"Rudy Yakym"
"Mark Green (R)",3,0,11,"Mark Green"
"John Curtis (R)",3,8,16,"John Curtis"
"Thom Tillis (R)",3,36,21,"Thom Tillis"
"David Kustoff (R)",3,0,13,"David Kustoff"
"Scott Fitzgerald (R)",3,8,3,"Scott Fitzgerald"
"Scott Peters (D)",3,100,89,"Scott Peters"
"John Carter (R)",3,8,11,"John Carter"
"Tom Carper (D)",3,100,89,"Tom Carper"
"Blake Moore (R)",3,8,6,"Blake Moore"
"Billy Long (R)",3,0,11,"Billy Long"
"Fred Upton (R)",3,54,33,"Fred Upton"
"Mike D Rogers (R)",3,8,14,"Mike D Rogers"
"Jay Obernolte (R)",3,15,9,"Jay Obernolte"
"Dan Sullivan (R)",3,27,21,"Dan Sullivan"
"Jerry Carl (R)",3,0,0,"Jerry Carl"
"Diana Harshbarger (R)",3,8,3,"Diana Harshbarger"
"Adam Kinzinger (R)",3,60,36,"Adam Kinzinger"
"Trey Hollingsworth (R)",3,8,14,"Trey Hollingsworth"
"Bill Posey (R)",3,8,12,"Bill Posey"
"Jacky Rosen (D)",3,100,92,"Jacky Rosen"
"Chris Stewart (R)",3,8,12,"Chris Stewart"
"Dan Meuser (R)",3,15,14,"Dan Meuser"
"Jim Baird (R)",3,8,15,"Jim Baird"
"Jim Hagedorn (R)",3,100,23,"Jim Hagedorn"
"John A Barrasso (R)",3,18,12,"John A Barrasso"
"Richard W Allen (R)",3,0,9,"Richard W Allen"
"Jeanne Shaheen (D)",3,100,94,"Jeanne Shaheen"
"Cindy Hyde-Smith (R)",3,10,18,"Cindy Hyde-Smith"
"Thomas Massie (R)",3,8,15,"Thomas Massie"
"Jake Laturner (R)",3,8,3,"Jake Laturner"
"Andy Biggs (R)",3,0,13,"Andy Biggs"
"Bob Good (R)",3,0,0,"Bob Good"
"Cynthia Lummis (R)",3,25,9,"Cynthia Lummis"
"Warren Davidson (R)",3,8,7,"Warren Davidson"
"John Moolenaar (R)",3,0,17,"John Moolenaar"
"James M Inhofe (R)",3,18,12,"James M Inhofe"
"Ben Cardin (D)",3,100,98,"Ben Cardin"
"Hal Rogers (R)",3,8,15,"Hal Rogers"
"Rick Scott (R)",3,0,9,"Rick Scott"
"Steven Palazzo (R)",3,0,12,"Steven Palazzo"
"Ben Cline (R)",3,8,11,"Ben Cline"
"Tommy Tuberville (R)",3,0,6,"Tommy Tuberville"
"Ben Sasse (R)",3,18,10,"Ben Sasse"
"Tom Rice (R)",3,8,11,"Tom Rice"
"Joe Sempolinski (R)",3,0,0,"Joe Sempolinski"
"Chris Jacobs (R)",3,31,24,"Chris Jacobs"
"Tom Reed (R)",3,67,32,"Tom Reed"
"Pat Toomey (R)",3,10,10,"Pat Toomey"
"Kevin Brady (R)",3,0,9,"Kevin Brady"
"Roy Blunt (R)",3,36,18,"Roy Blunt"
"Dianne Feinstein (D)",3,100,94,"Dianne Feinstein"
"Richard Burr (R)",3,44,17,"Richard Burr"
"Connie Conway (R)",3,0,0,"Connie Conway"
"Jared Huffman (D)",4,100,96,"Jared Huffman"
"Jimmy Panetta (D)",4,100,95,"Jimmy Panetta"
"Nancy Pelosi (D)",4,100,97,"Nancy Pelosi"
"Eric Swalwell (D)",4,100,98,"Eric Swalwell"
"Zoe Lofgren (D)",4,100,97,"Zoe Lofgren"
"Josh Harder (D)",4,100,99,"Josh Harder"
"Lloyd Doggett (D)",4,100,96,"Lloyd Doggett"
"John Garamendi (D)",4,100,98,"John Garamendi"
"Lizzie Fletcher (D)",4,100,100,"Lizzie Fletcher"
"Lauren A Underwood (D)",4,100,100,"Lauren A Underwood"
"Bennie G Thompson (D)",4,100,98,"Bennie G Thompson"
"Sheila Jackson Lee (D)",4,100,98,"Sheila Jackson Lee"
"Raul Ruiz (D)",4,100,95,"Raul Ruiz"
"Sylvia Garcia (D)",4,100,99,"Sylvia Garcia"
"Sara Jacobs (D)",4,100,100,"Sara Jacobs"
"Frank Pallone Jr. (D)",4,100,99,"Frank Pallone Jr."
"Al Lawson (D)",4,100,97,"Al Lawson"
"Michael Bennet (D)",4,100,93,"Michael Bennet"
"Diana DeGette (D)",4,100,97,"Diana DeGette"
"Kathy Manning (D)",4,100,100,"Kathy Manning"
"Deborah Ross (D)",4,100,100,"Deborah Ross"
"Joe Courtney (D)",4,100,99,"Joe Courtney"
"David Scott (D)",4,100,97,"David Scott"
"Raja Krishnamoorthi (D)",4,100,98,"Raja Krishnamoorthi"
"Don Beyer (D)",4,100,96,"Don Beyer"
"Carolyn Maloney (D)",4,100,97,"Carolyn Maloney"
"Adam Smith (D)",4,100,96,"Adam Smith"
"Patty Murray (D)",4,100,95,"Patty Murray"
"Nanette Barragan (D)",4,100,98,"Nanette Barragan"
"Kathy Castor (D)",4,100,97,"Kathy Castor"
"Alan Lowenthal (D)",4,100,98,"Alan Lowenthal"
"Peter DeFazio (D)",4,100,94,"Peter DeFazio"
"Jim Langevin (D)",4,100,98,"Jim Langevin"
"David Cicilline (D)",4,100,98,"David Cicilline"
"Charles E Schumer (D)",4,92,95,"Charles E Schumer"
"Marcy Kaptur (D)",4,100,98,"Marcy Kaptur"
"Terri Sewell (D)",4,100,94,"Terri Sewell"
"Rick Larsen (D)",4,100,94,"Rick Larsen"
"Bonnie Watson Coleman (D)",4,100,98,"Bonnie Watson Coleman"
"Mikie Sherrill (D)",4,100,100,"Mikie Sherrill"
"Jason Crow (D)",4,100,100,"Jason Crow"
"Joseph Neguse (D)",4,100,99,"Joseph Neguse"
"Marilyn Strickland (D)",4,100,100,"Marilyn Strickland"
"Derek Kilmer (D)",4,100,95,"Derek Kilmer"
"John Larson (D)",4,100,98,"John Larson"
"Jim Costa (D)",4,100,85,"Jim Costa"
"Richard Blumenthal (D)",4,100,99,"Richard Blumenthal"
"Earl Blumenauer (D)",4,100,95,"Earl Blumenauer"
"Joyce Beatty (D)",4,100,97,"Joyce Beatty"
"Bill Pascrell Jr. (D)",4,100,98,"Bill Pascrell Jr."
"Veronica Escobar (D)",4,100,99,"Veronica Escobar"
"Donald McEachin (D)",4,100,96,"Donald McEachin"
"Brian Schatz (D)",4,100,99,"Brian Schatz"
"Brad Schneider (D)",4,100,94,"Brad Schneider"
"Jeff Van Drew (R)",4,23,61,"Jeff Van Drew"
"Ron Wyden (D)",4,92,92,"Ron Wyden"
"Gerry Connolly (D)",4,100,93,"Gerry Connolly"
"Chris Van Hollen (D)",4,100,97,"Chris Van Hollen"
"Dutch Ruppersberger (D)",4,100,97,"Dutch Ruppersberger"
"Kweisi Mfume (D)",4,100,100,"Kweisi Mfume"
"Steny H Hoyer (D)",4,100,97,"Steny H Hoyer"
"Jamie Raskin (D)",4,100,98,"Jamie Raskin"
"Betty McCollum (D)",4,100,97,"Betty McCollum"
"Alex Padilla (D)",4,100,100,"Alex Padilla"
"G K Butterfield (D)",4,100,98,"G K Butterfield"
"James E Clyburn (D)",4,100,97,"James E Clyburn"
"Chellie Pingree (D)",4,100,99,"Chellie Pingree"
"Donald M Payne Jr. (D)",4,100,98,"Donald M Payne Jr."
"Mike Thompson (D)",4,100,96,"Mike Thompson"
"Hakeem Jeffries (D)",4,100,99,"Hakeem Jeffries"
"Jerrold Nadler (D)",4,100,99,"Jerrold Nadler"
"Pramila Jayapal (D)",4,100,96,"Pramila Jayapal"
"Kai Kahele (D)",4,100,100,"Kai Kahele"
"Salud Carbajal (D)",4,100,95,"Salud Carbajal"
"Lisa Blunt Rochester (D)",4,100,98,"Lisa Blunt Rochester"
"Suzan DelBene (D)",4,100,95,"Suzan DelBene"
"Robin Kelly (D)",4,100,99,"Robin Kelly"
"Kurt Schrader (D)",4,92,85,"Kurt Schrader"
"Tammy Duckworth (D)",4,100,99,"Tammy Duckworth"
"Alma Adams (D)",4,100,98,"Alma Adams"
"Tony Cardenas (D)",4,100,95,"Tony Cardenas"
"Ed Case (D)",4,100,99,"Ed Case"
"Stephen Lynch (D)",4,100,99,"Stephen Lynch"
"Darren Soto (D)",4,100,99,"Darren Soto"
"Brian Higgins (D)",4,100,98,"Brian Higgins"
"Troy Carter (D)",4,100,100,"Troy Carter"
"Conor Lamb (D)",4,100,94,"Conor Lamb"
"Sheldon Whitehouse (D)",4,100,99,"Sheldon Whitehouse"
"Emanuel Cleaver (D)",4,100,98,"Emanuel Cleaver"
"Lori Trahan (D)",4,100,99,"Lori Trahan"
"Melanie Stansbury (D)",4,100,100,"Melanie Stansbury"
"Greg Stanton (D)",4,100,100,"Greg Stanton"
"Andy Kim (D)",4,100,100,"Andy Kim"
"Suzanne Bonamici (D)",4,100,96,"Suzanne Bonamici"
"Jimmy Gomez (D)",4,100,99,"Jimmy Gomez"
"Gregory Meeks (D)",4,100,94,"Gregory Meeks"
"Marc Veasey (D)",4,100,98,"Marc Veasey"
"Val Demings (D)",4,100,98,"Val Demings"
"Josh Gottheimer (D)",4,100,89,"Josh Gottheimer"
"Maxine Waters (D)",4,100,99,"Maxine Waters"
"Christopher S Murphy (D)",4,100,99,"Christopher S Murphy"
"Frederica Wilson (D)",4,100,99,"Frederica Wilson"
"Jim Himes (D)",4,100,93,"Jim Himes"
"Shontel Brown (D)",4,100,100,"Shontel Brown"
"Ritchie Torres (D)",4,100,100,"Ritchie Torres"
"Adriano Espaillat (D)",4,100,98,"Adriano Espaillat"
"Ruben Gallego (D)",4,100,98,"Ruben Gallego"
"Norma Torres (D)",4,100,98,"Norma Torres"
"Katherine Clark (D)",4,100,99,"Katherine Clark"
"Chrissy Houlahan (D)",4,100,100,"Chrissy Houlahan"
"Colin Allred (D)",4,100,100,"Colin Allred"
"David Trone (D)",4,100,100,"David Trone"
"Pete Aguilar (D)",4,100,94,"Pete Aguilar"
"Mike Quigley (D)",4,100,95,"Mike Quigley"
"Debbie Wasserman Schultz (D)",4,100,97,"Debbie Wasserman Schultz"
"Ami Bera (D)",4,100,91,"Ami Bera"
"Anna Eshoo (D)",4,100,97,"Anna Eshoo"
