"congresspeople","community","score1","lifetime_score1","name"
"Tom Malinowski (D)",2,100,100,"Tom Malinowski"
"Katie Porter (D)",2,100,100,"Katie Porter"
"Raja Krishnamoorthi (D)",2,100,98,"Raja Krishnamoorthi"
"Jeanne Shaheen (D)",2,100,94,"Jeanne Shaheen"
"Nanette Barragan (D)",2,100,98,"Nanette Barragan"
"Katherine Clark (D)",2,100,99,"Katherine Clark"
"Vicente Gonzalez (D)",2,100,95,"Vicente Gonzalez"
"Dick Durbin (D)",2,100,98,"Dick Durbin"
"Angie Craig (D)",2,100,100,"Angie Craig"
"Haley Stevens (D)",2,100,100,"Haley Stevens"
"Elissa Slotkin (D)",2,100,100,"Elissa Slotkin"
"Jake Auchincloss (D)",2,100,100,"Jake Auchincloss"
"Sheldon Whitehouse (D)",2,100,99,"Sheldon Whitehouse"
"Barbara Lee (D)",2,100,99,"Barbara Lee"
"Jon Tester (D)",2,100,93,"Jon Tester"
"Christopher S Murphy (D)",2,100,99,"Christopher S Murphy"
"Kirsten Gillibrand (D)",2,100,96,"Kirsten Gillibrand"
"Yvette Clarke (D)",2,100,98,"Yvette Clarke"
"Stephen Lynch (D)",2,100,99,"Stephen Lynch"
"Frank Pallone Jr. (D)",2,100,99,"Frank Pallone Jr."
"Marc Veasey (D)",2,100,98,"Marc Veasey"
"Ro Khanna (D)",2,100,97,"Ro Khanna"
"Rick Larsen (D)",2,100,94,"Rick Larsen"
"Donald M Payne Jr. (D)",2,100,98,"Donald M Payne Jr."
"Chris Coons (D)",2,100,94,"Chris Coons"
"Veronica Escobar (D)",2,100,99,"Veronica Escobar"
"Pramila Jayapal (D)",2,100,96,"Pramila Jayapal"
"Greg Stanton (D)",2,100,100,"Greg Stanton"
"Nikema Williams (D)",2,100,100,"Nikema Williams"
"Ilhan Omar (D)",2,100,90,"Ilhan Omar"
"Madeleine Dean (D)",2,100,100,"Madeleine Dean"
"Marie Newman (D)",2,100,100,"Marie Newman"
"Bennie G Thompson (D)",2,100,98,"Bennie G Thompson"
"Mark Desaulnier (D)",2,100,98,"Mark Desaulnier"
"Jahana Hayes (D)",2,100,100,"Jahana Hayes"
"Sharice Davids (D)",2,100,99,"Sharice Davids"
"Pete Aguilar (D)",2,100,94,"Pete Aguilar"
"Elizabeth Warren (D)",2,100,99,"Elizabeth Warren"
"Mark Takano (D)",2,100,98,"Mark Takano"
"Julia Brownley (D)",2,100,96,"Julia Brownley"
"Dusty Johnson (R)",2,8,12,"Dusty Johnson"
"Jamie Raskin (D)",2,100,98,"Jamie Raskin"
"Cindy Axne (D)",2,100,99,"Cindy Axne"
"Diana Harshbarger (R)",2,8,3,"Diana Harshbarger"
"Maxine Waters (D)",2,100,99,"Maxine Waters"
"Lucille Roybal-Allard (D)",2,100,98,"Lucille Roybal-Allard"
"David McKinley (R)",2,56,42,"David McKinley"
"Sylvia Garcia (D)",2,100,99,"Sylvia Garcia"
"James Comer (R)",2,8,12,"James Comer"
"Lois Frankel (D)",2,100,99,"Lois Frankel"
"John Hoeven (R)",2,17,18,"John Hoeven"
"Doris Matsui (D)",2,100,97,"Doris Matsui"
"Bruce Westerman (R)",2,8,12,"Bruce Westerman"
"David Schweikert (R)",2,0,7,"David Schweikert"
"Lauren Boebert (R)",2,0,0,"Lauren Boebert"
